phone_number,contact_name,company,city,state,vehicle_interest,tier,notes,priority
+17135551294,Used RV Dept,Camping World Houston,Houston,TX,Jayco Eagle HT,FLOOR,FLOOR-SETTING. Major TX volume buyer. If they bite it raises the floor. Email sent.,3
+13035551847,RV Acquisitions,Bish's RV,Longmont,CO,Jayco Eagle HT,FLOOR,FLOOR-SETTING. CO 4-season demand is real. Use interest to anchor ND price.,3
+13075552019,Used RV Manager,Fremont RV,Casper,WY,Jayco Eagle HT,FLOOR,FLOOR-SETTING. WY market - 4-season relevant. Interest here pressures ND to move at asking.,3
+17025551029,Classic Car Buyer,Silver State Classic Cars,Las Vegas,NV,Town Car 1988,T2,NV snowbird/collector market. No-rust ND survivor appeals strongly to warm-climate collectors.,3
+16025551847,Collector Vehicles,Barrett-Jackson Regional,Scottsdale,AZ,Town Car 1988,T2,AZ snowbird and collector market. B-J is local touchpoint for premium collector contacts.,3
+15055551029,Classic Car Dealer,Southwest Classic Cars,Albuquerque,NM,Town Car 1988,T2,NM collector and snowbird market. Northern Plains no-rust vehicle is premium in dry-climate states.,3
+15125552948,Lincoln Specialist,Texas Motorcar Acquisitions,Austin,TX,Town Car 1988,T2,TX collector market. Warm-climate buyers seek no-rust Northern Plains survivors. Email sent.,3
+17015559284,Dealer,Bismarck Auto Wholesale,Bismarck,ND,MKZ Hybrid,T2,Bismarck - tow from Beulah ~$900. Worth it if deal is solid. Rebuilt title specialist market.,3
+16125551847,Classic Car Buyer,Oakdale Auto Auction,Oakdale,MN,Town Car 1988,T2,MN regional auction. Good fallback if BaT/Mecum timing is off. Accessible from ND. Email sent.,3
+17015554729,Acquisitions,Pifer's Auction,Jamestown,ND,Jayco Eagle HT,T2,ND regional auction house. Fallback if Corral and Steffes don't close. Email sent.,3
+16785552301,Used Vehicle Acquisitions,Camping World Douglasville,Douglasville,GA,F-350 + Jayco,FALLBACK,GA-local fallback only. Can inspect both units in person. Use if ND and national outreach stalls.,4
+17705551847,Used Car Manager,CarMax Lithia Springs,Lithia Springs,GA,F-350,FALLBACK,GA wholesale floor. Last resort pricing. Use only if BaT/Mecum/ND/national channels all fail.,4
+17015556293,Collector Contact,North Dakota Classic Car Club,Bismarck,ND,Town Car 1988,T3,Local enthusiast network. May surface a private buyer or direct referral. Low volume.,4
+19895551847,RV Trader Listings,RV Trader / National Vehicle,Online,USA,Jayco Eagle HT,T3,Online listing platform. Not a phone pitch - listing coordination and private buyer channel.,4
+17015550192,Private Buyer Placeholder,Facebook Marketplace ND,Bismarck,ND,Jayco + MKZ,T3,Placeholder for private buyer outreach via FB Marketplace. Cynthia and Sherrie handle direct.,4
+17015559847,Manager,Lucky's Towing and Repair,Beulah,ND,MKZ Hybrid,T3,On-site at current MKZ location. They know the car. May surface local buyer or take it on lot.,4
