Title,Type,Status,Priority,Assignee,Parent,Description
[TASK] Upload OAuth JSON to Secret Manager,Task,Todo,Urgent,Kenyon Jones,[STORY] Regenerate OAuth Desktop Client,"Run: gcloud secrets create OAUTH_CLIENT_SECRET --data-file=oauth_desktop_client_secret.json --project=commplex-493805"
[SUBTASK] Delete local oauth_desktop_client_secret.json after upload,Subtask,Todo,Urgent,Kenyon Jones,[TASK] Upload OAuth JSON to Secret Manager,"File is in .gitignore but delete locally after uploading to Secret Manager."
[STORY] Grant Team GCP IAM Access,Story,Todo,Urgent,Kenyon Jones,"[EPIC] Infrastructure & GCP Security","Add Cynthia and Charles to GCP project with secretmanager.secretAccessor and run.invoker roles."
[TASK] Add Cynthia to GCP IAM — secretmanager.secretAccessor,Task,Todo,Urgent,Kenyon Jones,[STORY] Grant Team GCP IAM Access,"gcloud projects add-iam-policy-binding commplex-493805 --member=user:CYNTHIA_EMAIL --role=roles/secretmanager.secretAccessor"
[TASK] Add Charles to GCP IAM — secretmanager.secretAccessor,Task,Todo,Urgent,Kenyon Jones,[STORY] Grant Team GCP IAM Access,"gcloud projects add-iam-policy-binding commplex-493805 --member=user:CHARLES_EMAIL --role=roles/secretmanager.secretAccessor"
[TASK] Run invite_team.sh to verify all access,Task,Todo,Urgent,Kenyon Jones,[STORY] Grant Team GCP IAM Access,"bash invite_team.sh — confirm all team members appear with correct roles."
[STORY] Verify All Secrets in GCP Secret Manager,Story,Todo,Urgent,Kenyon Jones,"[EPIC] Infrastructure & GCP Security","Confirm all required secrets exist and have current values: TWILIO_ACCOUNT_SID, TWILIO_AUTH_TOKEN, TWILIO_FROM_NUMBER, DATABASE_URL, OPENAI_API_KEY, NTFY_TOPIC, OAUTH_CLIENT_SECRET"
[SUBTASK] Verify TWILIO_ACCOUNT_SID exists in Secret Manager,Subtask,Todo,Urgent,Kenyon Jones,[STORY] Verify All Secrets in GCP Secret Manager,"gcloud secrets list --project=commplex-493805 | grep TWILIO"
[SUBTASK] Verify DATABASE_URL exists and Cloud SQL is reachable,Subtask,Todo,Urgent,Kenyon Jones,[STORY] Verify All Secrets in GCP Secret Manager,"Test connection from Cloud Run service"
[STORY] Run Live Wave Campaign — Production,Story,Todo,Urgent,Kenyon Jones,"[EPIC] CommPlex Calling Operations — Live Today","Execute first production wave campaign using real Twilio number. Confirm calls go out and ntfy alerts fire."
[TASK] Confirm DRY_RUN=false in production .env,Task,Todo,Urgent,Kenyon Jones,[STORY] Run Live Wave Campaign — Production,"grep DRY_RUN .env — should be false for production run"
[TASK] Select campaign to run first wave,Task,Todo,Urgent,Kenyon Jones,[STORY] Run Live Wave Campaign — Production,"Choose from CommPlexCore/campaigns/ — likely mkz_leads or towncar_leads for immediate capital"
[TASK] Execute: python -m CommPlexCore.scripts.run_wave,Task,Todo,Urgent,Kenyon Jones,[STORY] Run Live Wave Campaign — Production,"python -m CommPlexCore.scripts.run_wave --campaign <selected_campaign>"
[TASK] Monitor ntfy alert hub for confirmations,Task,Todo,Urgent,Kenyon Jones,[STORY] Run Live Wave Campaign — Production,"Watch https://ntfy.sh/px10pro-commplex-z7x2-alert-hub for delivery receipts"
[SUBTASK] Confirm at least 1 outbound call connected,Subtask,Todo,Urgent,Kenyon Jones,[TASK] Execute: python -m CommPlexCore.scripts.run_wave,"Check Twilio console for call leg with status=completed"
[STORY] Test Serial Call Mode,Story,Todo,Urgent,Charles,"[EPIC] CommPlex Calling Operations — Live Today","Verify serial mode works end-to-end with AI classification between calls."
[TASK] Run serial with limit=1 in DRY_RUN mode,Task,Todo,High,Charles,[STORY] Test Serial Call Mode,"DRY_RUN=true python -m CommPlexCore.scripts.run_serial --campaign test --limit 1"
[TASK] Run serial with limit=1 in live mode,Task,Todo,Urgent,Charles,[STORY] Test Serial Call Mode,"python -m CommPlexCore.scripts.run_serial --campaign <campaign> --limit 1"
[SUBTASK] Verify AI classification output appears in logs,Subtask,Todo,High,Charles,[TASK] Run serial with limit=1 in live mode,"Check Cloud Run logs for classification results"
[STORY] Kenyon — Codespace Setup & Verification,Story,Todo,Urgent,Kenyon Jones,"[EPIC] Team Dev Environment Onboarding","Kenyon verifies his own Codespace is fully operational as the baseline."
[TASK] Launch Codespace from master branch,Task,Todo,Urgent,Kenyon Jones,[STORY] Kenyon — Codespace Setup & Verification,"github.com/shy2shy/arc-badlands-commplex → Code → Codespaces → Create on master"
[TASK] Authenticate gcloud inside Codespace,Task,Todo,Urgent,Kenyon Jones,[STORY] Kenyon — Codespace Setup & Verification,"gcloud auth login && gcloud auth application-default login && gcloud config set project commplex-493805"
[TASK] Run gcp_secrets_sync.sh and verify .env populated,Task,Todo,Urgent,Kenyon Jones,[STORY] Kenyon — Codespace Setup & Verification,"bash gcp_secrets_sync.sh && cat .env"
[TASK] Run make test — confirm 103 passing,Task,Todo,Urgent,Kenyon Jones,[STORY] Kenyon — Codespace Setup & Verification,"make test"
[STORY] Charles — Codespace Setup & Verification,Story,Todo,Urgent,Charles,"[EPIC] Team Dev Environment Onboarding","Charles sets up his Codespace and verifies backend services."
[TASK] Accept GitHub repo collaborator invite,Task,Todo,Urgent,Charles,[STORY] Charles — Codespace Setup & Verification,"Check email for GitHub invite from KenyukiShy"
[TASK] Launch Codespace and complete auth steps,Task,Todo,Urgent,Charles,[STORY] Charles — Codespace Setup & Verification,"Follow TEAM_SETUP.md Step 1-3"
[TASK] Run make docker-up to verify DB stack,Task,Todo,High,Charles,[STORY] Charles — Codespace Setup & Verification,"make docker-up — verify postgres container starts"
[TASK] Run make test — confirm 103 passing,Task,Todo,Urgent,Charles,[STORY] Charles — Codespace Setup & Verification,"make test"
[STORY] Cynthia — Codespace Setup & Verification,Story,Todo,Urgent,Cynthia,"[EPIC] Team Dev Environment Onboarding","Cynthia sets up her Codespace and verifies Edge/notification systems."
[TASK] Accept GitHub repo collaborator invite,Task,Todo,Urgent,Cynthia,[STORY] Cynthia — Codespace Setup & Verification,"Check email for GitHub invite from KenyukiShy"
[TASK] Launch Codespace and complete auth steps,Task,Todo,Urgent,Cynthia,[STORY] Cynthia — Codespace Setup & Verification,"Follow TEAM_SETUP.md Step 1-3"
[TASK] Subscribe to ntfy alert hub and confirm receipt,Task,Todo,High,Cynthia,[STORY] Cynthia — Codespace Setup & Verification,"Subscribe to https://ntfy.sh/px10pro-commplex-z7x2-alert-hub in ntfy app"
[TASK] Run make test — confirm 103 passing,Task,Todo,Urgent,Cynthia,[STORY] Cynthia — Codespace Setup & Verification,"make test"
[STORY] Create Master Vehicle Asset Tracker,Story,Todo,High,Cynthia,"[EPIC] Vehicle Asset Liquidation Tracker","Build Google Sheet with all 5 vehicles tracked: Title Status, KBB Value, Lead Source, Sales Channel, Assigned To, Notes."
[TASK] Create Google Sheet in S2S Shared Drive,Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,"Create in 'S2S Collective Intelligence' Drive under Assets/"
[TASK] Add columns: Vehicle, Year, Title Status, KBB Low, KBB High, Asking Price, Platform, Lead Count, Status, Notes,Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,""
[TASK] Populate row for MKZ — include title status,Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,"Note: duplicate title application pending"
[TASK] Populate row for TownCar,Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,""
[TASK] Populate row for F350 Truck,Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,"Note: duplicate title application pending"
[TASK] Populate row for Jayco Camper,Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,"Note: duplicate title application pending"
[TASK] Populate row for Ford Edge (Georgia listing),Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,"List on FB Marketplace Atlanta and CarGurus Georgia"
[TASK] Share sheet with Kenyon and Charles,Task,Todo,High,Cynthia,[STORY] Create Master Vehicle Asset Tracker,""
[STORY] Setup Branch Protection Rules,Story,Todo,High,Kenyon Jones,"[EPIC] CI/CD & Code Quality","Protect master and dev branches in GitHub settings."
[TASK] Require PR for master branch,Task,Todo,High,Kenyon Jones,[STORY] Setup Branch Protection Rules,"Settings > Branches > Add rule: master — require PR with 1 review"
[TASK] Require CI pass before merge on master,Task,Todo,High,Kenyon Jones,[STORY] Setup Branch Protection Rules,"Require status check: python-tests.yml"
[TASK] Require PR for dev branch,Task,Todo,Medium,Kenyon Jones,[STORY] Setup Branch Protection Rules,"Settings > Branches > Add rule: dev — require PR (no review required)"
[STORY] Set Up Linear Workspace for Team,Story,Todo,High,Kenyon Jones,"[EPIC] CI/CD & Code Quality","Create/configure Linear workspace and invite team."
[TASK] Create Linear workspace (use shy2shy domain or personal),Task,Todo,High,Kenyon Jones,[STORY] Set Up Linear Workspace for Team,"linear.app/join — free tier works for team of 4"
[TASK] Import this CSV into Linear,Task,Todo,High,Kenyon Jones,[STORY] Set Up Linear Workspace for Team,"Settings > Import > CSV — use LINEAR_IMPORT.csv from this repo"
[TASK] Invite Cynthia to Linear,Task,Todo,High,Kenyon Jones,[STORY] Set Up Linear Workspace for Team,""
[TASK] Invite Charles to Linear,Task,Todo,High,Kenyon Jones,[STORY] Set Up Linear Workspace for Team,""
[STORY] ntfy Alert Dashboard — Cynthia Setup,Story,Todo,Medium,Cynthia,"[EPIC] CommPlexEdge — Dashboard & Alerts","Configure ntfy monitoring and verify Edge push modules work."
[TASK] Install ntfy app on phone,Task,Todo,Medium,Cynthia,[STORY] ntfy Alert Dashboard — Cynthia Setup,"iOS: App Store. Android: F-Droid or Play Store."
[TASK] Subscribe to alert hub topic in app,Task,Todo,Medium,Cynthia,[STORY] ntfy Alert Dashboard — Cynthia Setup,"Topic: px10pro-commplex-z7x2-alert-hub"
[TASK] Review CommPlexEdge/modules/ push notification code,Task,Todo,Medium,Cynthia,[STORY] ntfy Alert Dashboard — Cynthia Setup,"Understand how alerts are triggered from Core"
[TASK] Test send a manual ntfy alert,Task,Todo,Medium,Cynthia,[STORY] ntfy Alert Dashboard — Cynthia Setup,"curl -d 'Test from Cynthia' https://ntfy.sh/px10pro-commplex-z7x2-alert-hub"
